model,attribute,reference_group,reference_n,n_groups,n_total,overall_selection_rate,demographic_parity_difference_vs_reference,demographic_parity_difference_worst_group,demographic_parity_difference_range,disparate_impact_ratio_min,disparate_impact_ratio_worst_group,groups_failing_four_fifths,equal_opportunity_difference_max_abs,equal_opportunity_worst_group,equalized_odds_fpr_difference_max_abs,equalized_odds_fpr_worst_group,equalized_odds_difference,small_groups_present
logistic_regression,sex,Male,6480,2,9769,0.19439041867130719,-0.17846436306581237,Female,0.17846436306581237,0.2986967418638787,Female,1,-0.11969884856301932,Female,-0.0741904281785505,Female,0.11969884856301932,0
logistic_regression,race,White,8348,5,9769,0.19439041867130719,-0.14124525450591574,Amer-Indian-Eskimo,0.19913967611336036,0.3227367118808819,Amer-Indian-Eskimo,3,-0.24089407524990347,Other,0.058895233116013176,Asian-Pac-Islander,0.24089407524990347,2
random_forest,sex,Male,6480,2,9769,0.1899887398914935,-0.17182856059667656,Female,0.17182856059667656,0.30669422623507847,Female,1,-0.10742689985719367,Female,-0.05813447255614256,Female,0.10742689985719367,0
random_forest,race,White,8348,5,9769,0.1899887398914935,-0.12516125465334857,Amer-Indian-Eskimo,0.17636639676113358,0.38064839724590765,Amer-Indian-Eskimo,3,-0.17169333733750908,Other,0.043975723031154594,Asian-Pac-Islander,0.17169333733750908,2
xgboost,sex,Male,6480,2,9769,0.20186303613471185,-0.17964577022548037,Female,0.17964577022548037,0.31523259349346305,Female,1,-0.10302796544444859,Female,-0.05809621915193114,Female,0.10302796544444859,0
xgboost,race,White,8348,5,9769,0.20186303613471185,-0.12896225719656482,Amer-Indian-Eskimo,0.1437246963562753,0.40156924787274983,Amer-Indian-Eskimo,3,-0.12844823887768675,Other,-0.042318742699608614,Other,0.12844823887768675,2
