model,accuracy,precision,recall,f1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,n_test,fit_seconds
xgboost,0.8781860988842256,0.7910750507099391,0.6672369546621043,0.7238979118329466,0.929894493267344,7019,412,778,1560,9769,7.16
random_forest,0.8683590950967346,0.7834051724137931,0.6218990590248076,0.6933714830710539,0.9186192468860077,7029,402,884,1454,9769,3.64
logistic_regression,0.8506500153546934,0.731437598736177,0.5940975192472199,0.6556525843757376,0.9042223529180178,6921,510,949,1389,9769,0.79
